DATAFLOW,LAST UPDATE,freq,purchase,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,AT,2020-Q3,179.23,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,AT,2020-Q4,178.87,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,AT,2021-Q1,188.14,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,AT,2021-Q2,196.71,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,AT,2021-Q3,201.73,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,AT,2021-Q4,206.42,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,AT,2022-Q1,216.52,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,AT,2022-Q2,223.26,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,AT,2022-Q3,227.52,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,AT,2022-Q4,217.81,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,AT,2023-Q1,215.58,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,AT,2023-Q2,214.13,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,AT,2023-Q3,212.07,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,AT,2023-Q4,210.45,p
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2005-Q1,72.31,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2005-Q2,74.46,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2005-Q3,78.01,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2005-Q4,79.97,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2006-Q1,81.55,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2006-Q2,83.90,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2006-Q3,86.99,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2006-Q4,87.70,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2007-Q1,89.80,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2007-Q2,91.91,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2007-Q3,94.06,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2007-Q4,94.70,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2008-Q1,95.55,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2008-Q2,96.83,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2008-Q3,98.87,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2008-Q4,97.69,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2009-Q1,96.45,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2009-Q2,95.70,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2009-Q3,98.48,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2009-Q4,97.78,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2010-Q1,98.12,
ESTAT:PRC_HPI_Q(1.0),04/04/24 11:00:00,Q,DW_EXST,I10_Q,BE,2010-Q2,99.01,
